"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 12:26:55 CST 2020","Fri Aug 14 12:26:55 CST 2020","1","testcase","test_alluredemo","","","","test01",""
"passed","Fri Aug 14 12:26:55 CST 2020","Fri Aug 14 12:26:55 CST 2020","0","testcase","test_alluredemo","","","","test02",""
